epoch,train_loss,val_loss
1,0.5026977245938288,0.4064773938485554
2,0.12573964827477116,0.2813713922431426
3,0.0961185317129305,0.2468496851090874
4,0.08315123185583445,0.2255959317221173
5,0.07833892118917209,0.22122107975051872
6,0.07445840876056178,0.2134823147872729
7,0.07482742601537813,0.2178715838984187
8,0.07085501406018592,0.21402275738572435
9,0.0698536198977466,0.20261212647892535
10,0.06911405652217124,0.21121176591675198
11,0.07342282162137227,0.19880989489943854
12,0.06752263098002569,0.20319235075398215
13,0.0660671746383791,0.1947180203694318
14,0.06548044908808791,0.18647194314481957
15,0.06338035844300435,0.1796347317618451
16,0.06276610619537362,0.17406904521132155
17,0.06149400459372834,0.17089274977999075
18,0.06148423382068333,0.16612382432711975
19,0.05987461950612939,0.16527248696157976
20,0.05945155383449167,0.17874175529660924
21,0.05744538451098416,0.16087351882431125
22,0.05828924832618944,0.15886306506581604
23,0.0571837939628183,0.16219973667258664
24,0.05737116233739134,0.17088941571169666
25,0.055541972642483776,0.1593969615309366
26,0.056117526880682334,0.17306838068179786
27,0.056972494825176453,0.1564538293584649
28,0.054170186644139355,0.15552644930513843
29,0.05662500106444642,0.15506719089379267
30,0.05513333412712295,0.16123015180762326
31,0.053192753106627834,0.16364876446979387
32,0.05335399249917296,0.15679625714463846
33,0.054993504956024425,0.16629870661667415
34,0.05424537225605146,0.16107382452381508
35,0.0522160665918839,0.16080081356423243
36,0.05016847807046485,0.1531760565204812
37,0.0497716554274706,0.15281522483564913
38,0.04882876328341493,0.1523958995738732
39,0.048715207087871144,0.15189794900028833
40,0.048809635099959156,0.15263982958692526
41,0.04824487366564742,0.1527605109981128
42,0.048563022472678796,0.15195703765909588
43,0.04866497470363634,0.15048603746773942
44,0.048470144189860176,0.15240397244425757
45,0.04782900285639175,0.15033190408056335
46,0.04778051835625139,0.1510277080150055
47,0.04794085354089193,0.15104813195232833
48,0.04770462448840544,0.14970264793373644
49,0.04752583385840671,0.15061749521243786
50,0.0469104403961603,0.1500679957347789
